right;23;0.018
secret;23;0.018
frightened;23;0.018
goods;23;0.018
showed;23;0.018
chests;23;0.018
fast;23;0.018
number;23;0.018
plain;23;0.018
spoke;23;0.018
sense;23;0.018
skin;23;0.018
rice;23;0.018
landed;23;0.018
hopes;23;0.018
mouth;23;0.018
besides;22;0.017
further;22;0.017
If;22;0.017
expected;22;0.017
observe;22;0.017
easily;22;0.017
nation;22;0.017
wolves;22;0.017
worse;22;0.017
You;22;0.017
signs;22;0.017
expect;22;0.017
supposed;22;0.017
barley;22;0.017
turned;22;0.017
twelve;22;0.017
willing;22;0.017
strange;22;0.017
light;22;0.017
desire;22;0.017
hour;22;0.017
name;22;0.017
thankful;22;0.017
third;21;0.016
bade;21;0.016
main;21;0.016
stay;21;0.016
seven;21;0.016
mate;21;0.016
stir;21;0.016
negroes;21;0.016
sufficient;21;0.016
terms;21;0.016
send;21;0.016
considered;21;0.016
happy;21;0.016
finished;21;0.016
broken;21;0.016
seamen;21;0.016
east;21;0.016
secured;21;0.016
anchor;21;0.016
strength;21;0.016
big;21;0.016
O;20;0.016
dog;20;0.016
providence;20;0.016
outside;20;0.016
sudden;20;0.016
discovered;20;0.016
held;20;0.016
ways;20;0.016
point;20;0.016
answer;20;0.016
sooner;20;0.016
miles;20;0.016
grapes;20;0.016
What;20;0.016
CHAPTER;20;0.016
wounded;20;0.016
pass;20;0.016
mile;20;0.016
whose;20;0.016
received;20;0.016
stakes;20;0.016
understood;20;0.016
certain;20;0.016
blew;20;0.016
clear;20;0.016
hope;20;0.016
ought;20;0.016
covered;20;0.016
body;20;0.016
ladder;20;0.016
broke;20;0.016
discourse;20;0.016
mentioned;20;0.016
drowned;20;0.016
bound;20;0.016
story;20;0.016
scarce;20;0.016
There;19;0.015
These;19;0.015
die;19;0.015
advantage;19;0.015
honest;19;0.015
heat;19;0.015
seed;19;0.015
beyond;19;0.015
power;19;0.015
thou;19;0.015
secure;19;0.015
Heaven;19;0.015
beginning;19;0.015
face;19;0.015
guns;19;0.015
Yes;19;0.015
alive;19;0.015
reach;19;0.015
doubt;19;0.015
pair;19;0.015
beasts;19;0.015
past;19;0.015
mine;19;0.015
ships;19;0.015
suppose;19;0.015
cost;19;0.015
Lisbon;19;0.015
rum;19;0.015
river;19;0.015
plainly;19;0.015
turn;18;0.014
taking;18;0.014
company;18;0.014
need;18;0.014
Having;18;0.014
sword;18;0.014
For;18;0.014
deliver;18;0.014
frequently;18;0.014
devil;18;0.014
offered;18;0.014
degree;18;0.014
While;18;0.014
wretches;18;0.014
felt;18;0.014
prepared;18;0.014
agreement;18;0.014
yards;18;0.014
mountains;18;0.014
cabin;18;0.014
concluded;18;0.014
Now;18;0.014
glad;18;0.014
fence;18;0.014
setting;18;0.014
cried;18;0.014
calm;18;0.014
duty;18;0.014
doing;18;0.014
blood;17;0.013
provided;17;0.013
save;17;0.013
glass;17;0.013
lying;17;0.013
common;17;0.013
hardly;17;0.013
Spaniards;17;0.013
hung;17;0.013
charge;17;0.013
else;17;0.013
usual;17;0.013
governor;17;0.013
learned;17;0.013
entered;17;0.013
kid;17;0.013
pray;17;0.013
west;17;0.013
month;17;0.013
June;17;0.013
May;17;0.013
dark;17;0.013
followed;17;0.013
liberty;17;0.013
since;17;0.013
inside;17;0.013
slept;17;0.013
getting;17;0.013
table;17;0.013
friend;17;0.013
fallen;16;0.012
Here;16;0.012
journey;16;0.012
By;16;0.012
OF;16;0.012
horror;16;0.012
recovered;16;0.012
describe;16;0.012
perceive;16;0.012
former;16;0.012
keeping;16;0.012
accordingly;16;0.012
swam;16;0.012
twice;16;0.012
meat;16;0.012
hot;16;0.012
fair;16;0.012
worth;16;0.012
joy;16;0.012
directed;16;0.012
observation;16;0.012
moidores;16;0.012
thirty;16;0.012
muskets;16;0.012
met;16;0.012
fright;16;0.012
knowing;16;0.012
vessel;16;0.012
violence;16;0.012
snow;16;0.012
standing;16;0.012
spare;16;0.012
pistol;16;0.012
evening;16;0.012
unless;16;0.012
caused;16;0.012
spread;16;0.012
bed;16;0.012
hedge;16;0.012
walked;15;0.012
ammunition;15;0.012
inclination;15;0.012
imagined;15;0.012
fetch;15;0.012
exceedingly;15;0.012
naked;15;0.012
double;15;0.012
hurt;15;0.012
tears;15;0.012
station;15;0.012
circle;15;0.012
notice;15;0.012
ill;15;0.012
ink;15;0.012
bottles;15;0.012
Him;15;0.012
